unit_code,unit_name,storm_id,pcpout_mm_v1_2,rain_geotiff_mm_v1_6,diff_mm,rel_diff_pct
AG07,Saint Peter,sample_0044,103.31,104.1,0.79,0.76
AG07,Saint Peter,sample_0045,120.52,124.97,4.45,3.69
AG07,Saint Peter,sample_0046,0.0,0.29,0.29,
AG07,Saint Peter,sample_0047,126.45,132.32,5.87,4.64
AG07,Saint Peter,sample_0048,70.04,71.44,1.4,2.0
AG07,Saint Peter,sample_0049,99.77,112.35,12.58,12.61
AG07,Saint Peter,sample_0050,98.1,107.19,9.1,9.27
AG07,Saint Peter,sample_0051,196.63,199.29,2.66,1.35
AG07,Saint Peter,sample_0052,102.23,112.97,10.74,10.51
AG07,Saint Peter,sample_0053,128.19,134.91,6.72,5.24
AG07,Saint Peter,sample_0054,114.84,118.56,3.72,3.24
AG07,Saint Peter,sample_0055,162.55,165.46,2.91,1.79
AG07,Saint Peter,sample_0056,105.95,113.25,7.3,6.89
AG07,Saint Peter,sample_0057,180.95,183.93,2.98,1.65
AG07,Saint Peter,sample_0058,52.09,61.09,9.0,17.28
AG07,Saint Peter,sample_0059,98.76,104.78,6.01,6.09
AG07,Saint Peter,sample_0060,115.24,118.55,3.31,2.87
